# Wordlist

# DATA
ID	DOCULECT	CONCEPT	SEGMENTS	FORM	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
8221	Movima	alcohol (fermented drink)	p o ʔ s o	poʔ-so	1 7 1 3 7	AXBCZ	PUHSU	27	27.P.C 27.U.V 27.H.C 27.S.C 27.U.V	2.0 1.5 1.75 1.5 0.8	poʔso	0	16
11386	Isconahua	alcohol (fermented drink)	o m a	oma	7 4 7	XBZ	UMA	15	15.U.V 15.M.C 15.A.V	1.5 1.75 0.8	oma	0	14
#
1327	Araona	all	b a b ao w e	babaowe	1 7 1 7 6 7	AXBYBZ	PAPAWE	2	2.P.C 2.A.V 2.P.C 2.A.V 2.W.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	babaowe	0	22
1862	Cavinena	all	d o tʸ a	dotʸa	1 7 1 7	AXBZ	TUTA	8	8.T.C 8.U.V 8.T.C 8.A.V	2.0 1.5 1.75 0.8	dotʸa	0	26
1863	Cavinena	all	yo t a	yota	7 1 7	XBZ	YTA	8	8.Y.V 8.T.C 8.A.V	1.5 1.75 0.8	yota	0	34
2434	EseEjja	all	o x a ɲ a	oxaɲa	7 3 7 4 7	XBYBZ	UGANA	13	13.U.V 13.G.C 13.A.V 13.N.C 13.A.V	1.5 1.75 1.3 1.75 0.8	oxaɲa	0	28
2435	EseEjja	all	w a s ee	wasee	6 7 3 7	AXBZ	WASE	13	13.W.C 13.A.V 13.S.C 13.E.V	2.0 1.5 1.75 0.8	wasee	0	36
3454	Tacana	all	p a m a p a	pamapa	1 7 4 7 1 7	AXBYBZ	PAMAPA	39	39.P.C 39.A.V 39.M.C 39.A.V 39.P.C 39.A.V	2.0 1.5 1.75 1.3 1.75 0.8	pamapa	0	24
3976	Cashibo	all	k a m a β i	kamaβi	1 7 4 7 3 7	AXBYBZ	KAMABI	6	6.K.C 6.A.V 6.M.C 6.A.V 6.B.C 6.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kamaβi	0	24
4456	Catuquina	all	k ɨyo s k a	kɨyo-s-ka	1 7 3 1 7	AXMBZ	KISKA	7	7.K.C 7.I.V 7.S.c 7.K.C 7.A.V	2.0 1.5 1.1 1.75 0.8	kɨyoska	0	25
4993	Chacobo	all	h a t i t a	hatita	3 7 1 7 1 7	AXBYBZ	HATITA	9	9.H.C 9.A.V 9.T.C 9.I.V 9.T.C 9.A.V	2.0 1.5 1.75 1.3 1.75 0.8	hatita	0	23
4994	Chacobo	all	t ɨ k ɨ t a	tɨkɨta	1 7 1 7 1 7	AXBYBZ	TIKITA	9	9.T.C 9.I.V 9.K.C 9.I.V 9.T.C 9.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tɨkɨta	0	23
5743	ShipiboConibo	all	t ii β i	-tiiβi	1 7 3 7	AXBZ	TIBI	38	38.T.C 38.I.V 38.B.C 38.I.V	2.0 1.5 1.75 0.8	tiiβi	0	23
5744	ShipiboConibo	all	h a t i β i	hatiβi	3 7 1 7 3 7	AXBYBZ	HATIBI	38	38.H.C 38.A.V 38.T.C 38.I.V 38.B.C 38.I.V	2.0 1.5 1.75 1.3 1.75 0.8	hatiβi	0	23
6355	Yaminahua	all	k ɨyo k õi	kɨyo-kõi	1 7 1 7	AXBZ	KIKU	41	41.K.C 41.I.V 41.K.C 41.U.V	2.0 1.5 1.75 0.8	kɨyokõi	0	21
6504	Amahuaca	all	q uíyoo	quíyoo	1 7	AX	KY	1	1.K.C 1.Y.V	2.0 1.5	quíyoo	0	21
7162	Capanahua	all	j a t i h i b i	jatihibi	6 7 1 7 3 7 1 7	AXBYBYBZ	JATIHIPI	5	5.J.C 5.A.V 5.T.C 5.I.V 5.H.C 5.I.V 5.P.C 5.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	jatihibi	0	23
7570	Matis	all	a t ß u w ɨ ß	atßuwɨß	7 1 3 7 6 7 3	XBCYBYN	ATSYWIS	20	20.A.V 20.T.C 20.S.C 20.Y.V 20.W.C 20.I.V 20.S.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	atßuwɨß	0	31
8180	Chipaya	all	ḳʰ u t u	ḳʰutu	1 7 1 7	AXBZ	KYTY	10	10.K.C 10.Y.V 10.T.C 10.Y.V	2.0 1.5 1.75 0.8	ḳʰutu	0	27
8181	Chipaya	all	š a p a	šapa	3 7 1 7	AXBZ	SAPA	10	10.S.C 10.A.V 10.P.C 10.A.V	2.0 1.5 1.75 0.8	šapa	0	35
8182	Moseten	all	e 'r e h t u m	e'rehtum	7 5 7 3 1 7 4	XBYMBYN	EREHTYM	26	26.E.V 26.R.C 26.E.V 26.H.c 26.T.C 26.Y.V 26.M.c	1.5 1.75 1.3 1.1 1.75 1.3 0.8	e'rehtum	0	32
8183	Movima	all	ɓ a r a	ɓa-ra	1 7 5 7	AXBZ	PARA	27	27.P.C 27.A.V 27.R.C 27.A.V	2.0 1.5 1.75 0.8	ɓara	0	33
9705	Maropa	all	h ua n á	hua-ná	3 7 4 7	AXBZ	HYNA	19	19.H.C 19.Y.V 19.N.C 19.A.V	2.0 1.5 1.75 0.8	huaná	0	30
9742	Matses	all	a b i t e d i	abitedi	7 1 7 1 7 1 7	XBYBYBZ	APITETI	21	21.A.V 21.P.C 21.I.V 21.T.C 21.E.V 21.T.C 21.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	abitedi	0	26
9743	Matses	all	t e d i	tedi	1 7 1 7	AXBZ	TETI	21	21.T.C 21.E.V 21.T.C 21.I.V	2.0 1.5 1.75 0.8	tedi	0	26
10723	Sharanahua	all	n a n t i f i	nantifi	4 7 4 1 7 3 7	AXMBYBZ	NANTIBI	37	37.N.C 37.A.V 37.N.c 37.T.C 37.I.V 37.B.C 37.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	nantifi	0	23
10857	Kakataibo	all	k a m a b i	kamabi	1 7 4 7 1 7	AXBYBZ	KAMAPI	17	17.K.C 17.A.V 17.M.C 17.A.V 17.P.C 17.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kamabi	0	24
11387	Isconahua	all	a r a n a b i	aranabi	7 5 7 4 7 1 7	XBYBYBZ	ARANAPI	15	15.A.V 15.R.C 15.A.V 15.N.C 15.A.V 15.P.C 15.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	aranabi	0	29
#
6856	Amahuaca	and	ya	-ya	7	X	Y	1	1.Y.V	1.5	ya	0	37
7403	Capanahua	and	s c a	sca	3 1 7	ACZ	SCA	5	5.S.C 5.C.C 5.A.V	2.0 1.5 0.8	sca	0	38
7767	Moseten	and	h ũ dʸ e 'ya ʔ	hũdʸe'yaʔ	3 7 1 7 7 1	AXBYYN	HYTEYH	26	26.H.C 26.Y.V 26.T.C 26.E.V 26.Y.V 26.H.c	2.0 1.5 1.75 1.3 1.3 0.8	hũdʸe'yaʔ	0	41
7768	Movima	and	č e	če	2 7	AX	CE	27	27.C.C 27.E.V	2.0 1.5	če	0	42
9744	Matses	and	m a	ma	4 7	AX	MA	21	21.M.C 21.A.V	2.0 1.5	ma	1	40
10257	Sharanahua	and	n o n	non	4 7 4	AXN	NUN	37	37.N.C 37.U.V 37.N.c	2.0 1.5 0.8	non	1	39
10258	Sharanahua	and	ya f i	yafi	7 3 7	XBZ	YBI	37	37.Y.V 37.B.C 37.I.V	1.5 1.75 0.8	yafi	0	43
10858	Kakataibo	and	'i m ai n u n	'imainun	7 4 7 4 7 4	XBYBYN	IMANYN	17	17.I.V 17.M.C 17.A.V 17.N.C 17.Y.V 17.N.c	1.5 1.75 1.3 1.75 1.3 0.8	'imainun	0	39
#
540	Sapibokona	animal	n iu	niu	4 7	AX	NI	35	35.N.C 35.I.V	2.0 1.5	niu	0	45
1561	Cavinena	animal	oo	oo	7	X	U	8	8.U.V	1.5	oo	0	46
1562	Cavinena	animal	kʷ a n o b i	kʷanobi	1 7 4 7 1 7	AXBYBZ	KANUPI	8	8.K.C 8.A.V 8.N.C 8.U.V 8.P.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kʷanobi	0	53
2077	EseEjja	animal	i x ia k a x i	ixiakaxi	7 3 7 1 7 3 7	XBYBYBZ	IGIKAGI	13	13.I.V 13.G.C 13.I.V 13.K.C 13.A.V 13.G.C 13.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ixiakaxi	0	47
3077	Tacana	animal	a n i m a l o	animalo	7 4 7 4 7 5 7	XBYBYBZ	ANIMALU	39	39.A.V 39.N.C 39.I.V 39.M.C 39.A.V 39.L.C 39.U.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	animalo	0	52
3679	Cashibo	animal	ɲ ui n a	ɲuina	4 7 4 7	AXBZ	NYNA	6	6.N.C 6.Y.V 6.N.C 6.A.V	2.0 1.5 1.75 0.8	ɲuina	0	45
4154	Catuquina	animal	yo ʔ i n a	yoʔina	7 1 7 4 7	XBYBZ	YHINA	7	7.Y.V 7.H.C 7.I.V 7.N.C 7.A.V	1.5 1.75 1.3 1.75 0.8	yoʔina	0	45
4641	Chacobo	animal	yo 'ʔ i n a	yo'ʔina	7 1 7 4 7	XBYBZ	YHINA	9	9.Y.V 9.H.C 9.I.V 9.N.C 9.A.V	1.5 1.75 1.3 1.75 0.8	yo'ʔina	0	45
5323	ShipiboConibo	animal	yoi n a	yoina	7 4 7	XBZ	YNA	38	38.Y.V 38.N.C 38.A.V	1.5 1.75 0.8	yoina	0	45
6009	Yaminahua	animal	yõi n ã	yõinã	7 4 7	XBZ	YNA	41	41.Y.V 41.N.C 41.A.V	1.5 1.75 0.8	yõinã	0	45
6568	Amahuaca	animal	c h í t u	chítu	1 3 7 1 7	ACXBZ	CHITY	1	1.C.C 1.H.C 1.I.V 1.T.C 1.Y.V	2.0 1.5 1.5 1.75 0.8	chítu	0	44
7540	Capanahua	animal	yo h i n a h	yohinah	7 3 7 4 7 3	XBYBYN	YHINAH	5	5.Y.V 5.H.C 5.I.V 5.N.C 5.A.V 5.H.c	1.5 1.75 1.3 1.75 1.3 0.8	yohinah	0	45
7668	Matis	animal	n ɨi ʃ	nɨiʃ	4 7 3	AXN	NIS	20	20.N.C 20.I.V 20.S.c	2.0 1.5 0.8	nɨiʃ	0	48
7769	Moseten	animal	h e b a k 'dʸ e	hebak-'dʸe	3 7 1 7 1 1 7	AXBYMBZ	HEPAKTE	26	26.H.C 26.E.V 26.P.C 26.A.V 26.K.c 26.T.C 26.E.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	hebak'dʸe	0	49
7770	Movima	animal	p o p oi kʷ a	popoi-kʷa	1 7 1 7 1 7	AXBYBZ	PUPUKA	27	27.P.C 27.U.V 27.P.C 27.U.V 27.K.C 27.A.V	2.0 1.5 1.75 1.3 1.75 0.8	popoikʷa	0	50
9370	Poyanawa	animal	iũĩ d a	iũĩda	7 1 7	XBZ	ITA	31	31.I.V 31.T.C 31.A.V	1.5 1.75 0.8	iũĩda	0	45
10259	Sharanahua	animal	f i s h t ui	fishtui	3 7 3 3 1 7	AXLMBZ	BISHTY	37	37.B.C 37.I.V 37.S.c 37.H.c 37.T.C 37.Y.V	2.0 1.5 1.1 1.1 1.75 0.8	fishtui	0	51
10859	Kakataibo	animal	ñ ui n a	ñuina	4 7 4 7	AXBZ	NYNA	17	17.N.C 17.Y.V 17.N.C 17.A.V	2.0 1.5 1.75 0.8	ñuina	0	45
11388	Isconahua	animal	yoi n a	yoina	7 4 7	XBZ	YNA	15	15.Y.V 15.N.C 15.A.V	1.5 1.75 0.8	yoina	0	45
#
7351	Capanahua	answer	q ue h ui n q ui n	quehuinquin	1 7 3 7 4 1 7 4	AXBYMBYN	KYHYNKYN	5	5.K.C 5.Y.V 5.H.C 5.Y.V 5.N.c 5.K.C 5.Y.V 5.N.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	quehuinquin	0	54
7771	Chipaya	answer	ḳʰ aa š	ḳʰaaš	1 7 3	AXN	KAS	10	10.K.C 10.A.V 10.S.c	2.0 1.5 0.8	ḳʰaaš	0	55
7772	Moseten	answer	h ĩ č i 'k a k i ʔ	hĩči'kakiʔ	3 7 2 7 1 7 1 7 1	AXBYBYBYN	HICIKAKIH	26	26.H.C 26.I.V 26.C.C 26.I.V 26.K.C 26.A.V 26.K.C 26.I.V 26.H.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	hĩči'kakiʔ	0	58
7773	Movima	answer	č ai w a n e ɬ e	čai-wane-ɬe	2 7 6 7 4 7 5 7	AXBYBYBZ	CAWANELE	27	27.C.C 27.A.V 27.W.C 27.A.V 27.N.C 27.E.V 27.L.C 27.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	čaiwaneɬe	0	59
9745	Matses	answer	ë c b e d	ëcbed	7 1 1 7 1	XMBYN	ECPET	21	21.E.V 21.C.c 21.P.C 21.E.V 21.T.c	1.5 1.1 1.75 1.3 0.8	ëcbed	0	57
10260	Sharanahua	answer	c u m ai	cumai	1 7 4 7	AXBZ	CYMA	37	37.C.C 37.Y.V 37.M.C 37.A.V	2.0 1.5 1.75 0.8	cumai	0	60
11389	Isconahua	answer	k e n w i	kenwi	1 7 4 6 7	AXBCZ	KENWI	15	15.K.C 15.E.V 15.N.C 15.W.C 15.I.V	2.0 1.5 1.75 1.5 0.8	kenwi	0	56
#
756	Reyesano	ant	i s̆ o v i	is̆ovi	7 3 7 3 7	XBYBZ	ISUBI	34	34.I.V 34.S.C 34.U.V 34.B.C 34.I.V	1.5 1.75 1.3 1.75 0.8	is̆ovi	0	73
979	Araona	ant	b o t o t o	bototo	1 7 1 7 1 7	AXBYBZ	PUTUTU	2	2.P.C 2.U.V 2.T.C 2.U.V 2.T.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	bototo	0	62
980	Araona	ant	l o s o	loso	5 7 3 7	AXBZ	LUSU	2	2.L.C 2.U.V 2.S.C 2.U.V	2.0 1.5 1.75 0.8	loso	0	75
1579	Cavinena	ant	p o k i	poki	1 7 1 7	AXBZ	PUKI	8	8.P.C 8.U.V 8.K.C 8.I.V	2.0 1.5 1.75 0.8	poki	0	65
2097	EseEjja	ant	š e m e	šeme	3 7 4 7	AXBZ	SEME	13	13.S.C 13.E.V 13.M.C 13.E.V	2.0 1.5 1.75 0.8	šeme	0	67
2663	HuarayoEseEjja	ant	p o x i _ a s o	poxi_aso	1 7 3 7 9 7 3 7	AXBZ_XBZ	PUGI_ASU	14	14.P.C 14.U.V 14.G.C 14.I.V 14._._ 14.A.V 14.S.C 14.U.V	2.0 1.5 1.75 0.8 0.0 1.5 1.75 0.8	poxi_aso	0	68
3100	Tacana	ant	i ď̶ oi	iď̶oi	7 0 7	XBZ	I0U	39	39.I.V 39.0.C 39.U.V	1.5 1.75 0.8	iď̶oi	0	73
3700	Cashibo	ant	k u 't i š	ku'tiš	1 7 1 7 3	AXBYN	KYTIS	6	6.K.C 6.Y.V 6.T.C 6.I.V 6.S.c	2.0 1.5 1.75 1.3 0.8	ku'tiš	0	64
4172	Catuquina	ant	h i m a	hima	3 7 4 7	AXBZ	HIMA	7	7.H.C 7.I.V 7.M.C 7.A.V	2.0 1.5 1.75 0.8	hima	0	61
4661	Chacobo	ant	h i ʔ i m a	hiʔi-ma	3 7 1 7 4 7	AXBYBZ	HIHIMA	9	9.H.C 9.I.V 9.H.C 9.I.V 9.M.C 9.A.V	2.0 1.5 1.75 1.3 1.75 0.8	hiʔima	0	61
5343	ShipiboConibo	ant	β o n a	βona	3 7 4 7	AXBZ	BUNA	38	38.B.C 38.U.V 38.N.C 38.A.V	2.0 1.5 1.75 0.8	βona	0	74
6027	Yaminahua	ant	ɨɨ	ɨɨ	7	X	I	41	41.I.V	1.5	ɨɨ	0	69
6561	Amahuaca	ant	j í m a	jíma	6 7 4 7	AXBZ	JIMA	1	1.J.C 1.I.V 1.M.C 1.A.V	2.0 1.5 1.75 0.8	jíma	0	61
7176	Capanahua	ant	j i s i s	jisis	6 7 3 7 3	AXBYN	JISIS	5	5.J.C 5.I.V 5.S.C 5.I.V 5.S.c	2.0 1.5 1.75 1.3 0.8	jisis	0	63
7774	Chipaya	ant	kˀ i š i m i r i	kˀišimiri	1 7 3 7 4 7 5 7	AXBYBYBZ	KISIMIRI	10	10.K.C 10.I.V 10.S.C 10.I.V 10.M.C 10.I.V 10.R.C 10.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kˀišimiri	0	66
7775	Moseten	ant	k a s t k i t 'k i	kastkit'ki	1 7 3 1 1 7 1 1 7	AXLMBYMBZ	KASTKITKI	26	26.K.C 26.A.V 26.S.c 26.T.c 26.K.C 26.I.V 26.T.c 26.K.C 26.I.V	2.0 1.5 1.1 1.1 1.75 1.3 1.1 1.75 0.8	kastkit'ki	0	71
7776	Moseten	ant	k i 'k i k i	ki'kiki	1 7 1 7 1 7	AXBYBZ	KIKIKI	26	26.K.C 26.I.V 26.K.C 26.I.V 26.K.C 26.I.V	2.0 1.5 1.75 1.3 1.75 0.8	ki'kiki	0	77
7777	Moseten	ant	k ya 'k i	kya'ki	1 7 1 7	AXBZ	KYKI	26	26.K.C 26.Y.V 26.K.C 26.I.V	2.0 1.5 1.75 0.8	kya'ki	0	77
7778	Moseten	ant	a 'yu š a	a'yuša	7 7 3 7	XYBZ	AYSA	26	26.A.V 26.Y.V 26.S.C 26.A.V	1.5 1.3 1.75 0.8	a'yuša	0	78
7779	Movima	ant	č i h e ɬ	či-heɬ	2 7 3 7 5	AXBYN	CIHEL	27	27.C.C 27.I.V 27.H.C 27.E.V 27.L.c	2.0 1.5 1.75 1.3 0.8	čiheɬ	0	72
9602	Nucuyni	ant	i s i	isi	7 3 7	XBZ	ISI	28	28.I.V 28.S.C 28.I.V	1.5 1.75 0.8	isi	0	63
9746	Matses	ant	b a c u ë	bacuë	1 7 1 7 7	AXBYZ	PACYE	21	21.P.C 21.A.V 21.C.C 21.Y.V 21.E.V	2.0 1.5 1.75 1.3 0.8	bacuë	1	70
10860	Kakataibo	ant	i m a	ima	7 4 7	XBZ	IMA	17	17.I.V 17.M.C 17.A.V	1.5 1.75 0.8	ima	0	61
10861	Kakataibo	ant	ë u	ëu	7 7	XZ	EY	17	17.E.V 17.Y.V	1.5 0.8	ëu	0	76
11390	Isconahua	ant	e	e	7	X	E	15	15.E.V	1.5	e	0	69
11391	Isconahua	ant	i m a	ima	7 4 7	XBZ	IMA	15	15.I.V 15.M.C 15.A.V	1.5 1.75 0.8	ima	0	61
#
7304	Capanahua	approach	p a t a x q ui n	pataxquin	1 7 1 7 3 1 7 4	AXBYMBYN	PATAGKYN	5	5.P.C 5.A.V 5.T.C 5.A.V 5.G.c 5.K.C 5.Y.V 5.N.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	pataxquin	0	79
7780	Chipaya	approach	ṣ̌ k a t ṣ̌ i n š	ṣ̌katṣ̌in-š	3 1 7 1 3 7 4 3	ACYBCYLN	SKATSINS	10	10.S.C 10.K.C 10.A.V 10.T.C 10.S.C 10.I.V 10.N.c 10.S.c	2.0 1.5 1.3 1.75 1.5 1.3 1.1 0.8	ṣ̌katṣ̌inš	0	80
7781	Moseten	approach	č ei ʔ 'yai	čeiʔ'yai	2 7 1 7	AXBZ	CEHY	26	26.C.C 26.E.V 26.H.C 26.Y.V	2.0 1.5 1.75 0.8	čeiʔ'yai	0	82
7782	Movima	approach	n e n kʷ a n i w a	nen-kʷa-niwa	4 7 4 1 7 4 7 6 7	AXMBYBYBZ	NENKANIWA	27	27.N.C 27.E.V 27.N.c 27.K.C 27.A.V 27.N.C 27.I.V 27.W.C 27.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	nenkʷaniwa	0	83
10261	Sharanahua	approach	f i s h t ai	fishtai	3 7 3 3 1 7	AXLMBZ	BISHTA	37	37.B.C 37.I.V 37.S.c 37.H.c 37.T.C 37.A.V	2.0 1.5 1.1 1.1 1.75 0.8	fishtai	0	84
10862	Kakataibo	approach	n ë r ë n k i t i	nërënkiti	4 7 5 7 4 1 7 1 7	AXBYMBYBZ	NERENKITI	17	17.N.C 17.E.V 17.R.C 17.E.V 17.N.c 17.K.C 17.I.V 17.T.C 17.I.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 0.8	nërënkiti	1	81
#
489	Mabenaro	arm	i b ai	ibai	7 1 7	XBZ	IPA	18	18.I.V 18.P.C 18.A.V	1.5 1.75 0.8	ibai	0	86
544	Sapibokona	arm	e bb ai	ebbai	7 1 7	XBZ	EPA	35	35.E.V 35.P.C 35.A.V	1.5 1.75 0.8	ebbai	0	86
721	Reyesano	arm	e m b ai	embai	7 4 1 7	XMBZ	EMPA	34	34.E.V 34.M.c 34.P.C 34.A.V	1.5 1.1 1.75 0.8	embai	0	86
1026	Araona	arm	e b ai	ebai	7 1 7	XBZ	EPA	2	2.E.V 2.P.C 2.A.V	1.5 1.75 0.8	ebai	0	86
1622	Cavinena	arm	e b i	e-bi	7 1 7	XBZ	EPI	8	8.E.V 8.P.C 8.I.V	1.5 1.75 0.8	ebi	0	86
