ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
8745	Tacana	all	pamapa	pamapa	p a m a p a	None	2800		p a m a + p a	16
9271	Tsimane	all	räj, tas	räj	r ə.h	None	3487		r ə h	22
9272	Tsimane	all	räj, tas	tas	t a s	None	1836		t a s	26
9608	Chacobo	all	jatiroha ca	jatiroha ca	h a t i r o ʔ a k a	None	2645		h a t i + r o ʔ a + k a	17
9894	Araona	all	babaohue	babaohue	b a b a o w e	None	2563		b a b a o + w e	16
85	EseEjja	animal	ixiakaxi	ixiakaxi	i x i a k a x i	None	4479		i x i a k a x i	31
1018	Cashibo	animal	ɲuina	ɲuina	ɲ u i n a	None	4380		ɲ u - i n a -	28
1460	Catuquina	animal	yoʔina	yoʔina	j o ʔ i n a	None	4380		j o ʔ i n a -	28
1944	ShipiboConibo	animal	yoina	yoina	j o i n a	None	4380		j o - i n a -	28
2574	Yaminahua	animal	yõinã	yõinã	j õ i n ã	None	4380		j õ - i n ã -	28
3103	Amahuaca	animal	chítu	chítu	tʃ í/i t ɨ	None	3689		tʃ í/i t ɨ	27
4128	Capanahua	animal	yohinah	yohinah	j o ʔ i n a ʔ	None	4380		j o ʔ i n a ʔ	28
4151	Moseten	animal	hebak-'dʸe	hebak-'dʸe	h e b a k dʲ e	None	3707		h e b + a + k + dʲ e	32
4152	Movima	animal	popoi-kʷa	popoi-kʷa	p o p o i kʷ a	None	3703		p o p o i + kʷ a	33
5561	Sharanahua	animal	fishtui	fishtui	β i ʃ t ɨ i	None	4543		β i ʃ t ɨ i	34
6109	Kakataibo	animal	ñuina	ñuina	ɲ ɯ i n a	None	4380		ɲ ɯ - i n a -	28
6608	Isconahua	animal	yoina	yoina	j o i n a	None	4380		j o - i n a -	28
7271	Chipaya	animal	uywa, yaticha	uywa	u j w a	None	4446		u j w a	30
7272	Chipaya	animal	uywa, yaticha	yaticha	j a t i tʃ a	None	4330		j a t i tʃ a	27
8425	Cavinena	animal	upati, kwanubi	upati	u p a t i	None	4409		u p a t i	29
8426	Cavinena	animal	upati, kwanubi	kwanubi	kʷ a n u b i	None	4611		kʷ a n u b i	29
8460	Tacana	animal	animalu	animalu	a n i m a l u	None	4574		a n i m a l u	35
9119	Tsimane	animal	jebacdye’	jebacdye’	h e b a k dʲ e.ʔ	None	3707		h e b + a + k + dʲ e.ʔ	32
9841	Chacobo	animal	yohina	yohina	j o ʔ i n a	None	4380		j o ʔ i n a -	28
103	EseEjja	ant	šeme	šeme	ʃ e m e	None	5189		ʃ e m e	36
637	HuarayoEseEjja	ant	poxi aso	poxi aso	p o x i a s o	None	5335		p o x i + - a s o	40
1034	Cashibo	ant	ku'tiš	ku'tiš	k u t i ʃ	None	5306		k u t i ʃ	39
1476	Catuquina	ant	hima	hima	h i m a	None	5189		h i m a	36
1963	ShipiboConibo	ant	βona	βona	β o n a	None	5548		β o n a	44
2590	Yaminahua	ant	ɨɨ	ɨɨ	ɨ ɨ	None	5403		ɨ ɨ	47
3096	Amahuaca	ant	jíma	jíma	h í/i m a	None	5189		h í/i m a	36
3716	Capanahua	ant	jisis, jiin, xehi	jisis	h i s i s	None	5276		h i s i s	38
4153	Moseten	ant	kya'ki	kya'ki	k j a k i	None	5442		k j a k i	42
4154	Moseten	ant	a'yuša	a'yuša	a j u ʃ a	None	5366		a j u ʃ a	48
4155	Movima	ant	či-heɬ	či-heɬ	tʃ i h e ɬ	None	5481		tʃ i + h e ɬ	43
5093	Matses	ant	bacuë	bacuë	b a kʷ ɨ	None	3937		b a kʷ ɨ	41
6110	Kakataibo	ant	ima	ima	i m a	None	5189		- i m a	36
6609	Isconahua	ant	ima	ima	i m a	None	5189		- i m a	36
8681	Tacana	ant	id’ui	id’ui	i ɽ u i	None	5580		i ɽ u i	45
9326	Tsimane	ant	tayen’	tayen’	t a j e n.ʔ	None	5624		t a j e n.ʔ	46
9934	Araona	ant	bototo	bototo	b o t o t o	None	5238		b o t o t o	37
3846	Capanahua	approach	pataxquin	pataxquin	p a t a ʂ	None	217		p a t a ʂ	50
4156	Moseten	approach	čeiʔ'yai	čeiʔ'yai	tʃ ei.ʔ j ai	None	258		tʃ ei.ʔ j ai -	57
4157	Movima	approach	nen-kʷa-niwa	nen-kʷa-niwa	n e n kʷ a n i w a	None	539		n e n + kʷ a + n i w a	58
5562	Sharanahua	approach	fishtai	fishtai	β i ʃ t a i	None	617		β i ʃ t a i	59
6111	Kakataibo	approach	nërënkiti	nërënkiti	n ɨ ɾ ɨ n k i t i	None	478		n ɨ ɾ ɨ n + k i t i	56
7710	Chipaya	approach	zhkatzin-z, makat-z	zhkatzin-z	ʐ k a t z i n	None	443		ʐ k a t z i n	55
7711	Chipaya	approach	zhkatzin-z, makat-z	makat-z	m a k a t	None	675		m a k a t	61
7878	Chacobo	approach	basimahaina	basimahaina	β a s i m a	None	407		β a s i m a	54
8236	Cavinena	approach	jipe, sita	jipe	h i p e	None	2808		h i p e	53
8237	Cavinena	approach	jipe, sita	sita	s i t a	None	258		s i t a -	51
8690	Tacana	approach	ja-naria-ti	ja-naria-ti	h a n a ɾ i a t i	None	643		h a - + n a ɾ i a + t i	60
8857	Cashibo	approach	čiča-ti	čiča-ti	tʃ i tʃ a t i	None	2807		tʃ i tʃ a + t i	51
8871	Catuquina	approach	taβa_ka-	taβa_ka-	t a β a k a	None	259		t a β a - + k a	52
8987	Tsimane	approach	ćhéi’yaij jeyeyaqui	ćhéi’yaij jeyeyaqui	tʃʰ ẽi.ʔ j ai.h h e j e	None	258		tʃʰ ẽi.ʔ j ai h + h e j e	57
9946	Araona	approach	cuaetiqui	cuaetiqui	kʷ a e t i k i	None	166		kʷ a e t i + k i	49
160	EseEjja	arm	e-aa	e-aa	a a	None	1081		a - a	66
676	HuarayoEseEjja	arm	yaa	yaa	j !aa/a	None	1616		( - - ) j !aa/a -	67
1082	Cashibo	arm	pɨ'ɲã	pɨ'ɲã	p ɨ ɲ ã	None	3171		p ɨ + - - ɲ ã ( - )	62
1519	Catuquina	arm	põyã	põyã	p õ j ã	None	5612		p õ + ( - - ) j ã -	62
2025	ShipiboConibo	arm	po-yã	po-yã	p o j ã	None	5612		p o + ( - - ) j ã -	62
2639	Yaminahua	arm	põ-ya	põ-ya	p õ j a	None	5612		p õ + ( - - ) j a -	62
3431	Amahuaca	arm	pónyan, póxtuu	pónyan	p ó/o n j a n	None	5612		p ó/o + ( - n ) j a n	62
3432	Amahuaca	arm	pónyan, póxtuu	póxtuu	p ó/o ʂ t ɨ ɨ	None	5605		p ó/o + ʂ t ɨ ɨ	68
3897	Capanahua	arm	poyan, pexo xao, bax	poyan	p o j a n	None	5612		p o + ( - - ) j a n	62
4158	Moseten	arm	œɲ'ya	œɲ'ya	ɨ ɲ j a	None	1616		( ɨ ɲ ) j a -	62
4159	Movima	arm	ɓosa-kʷa	ɓosa-kʷa	ɓ o s a kʷ a	None	108		ɓ o s a + kʷ a	69
5094	Matses	arm	podo	podo	p o d o	None	5606		p o + d o	68
5563	Sharanahua	arm	poyan	poyan	p u j a n	None	5612		p u + ( - - ) j a n	62
6112	Kakataibo	arm	pëñan	pëñan	p ɨ ɲ a n	None	3171		p ɨ + - - ɲ a ( n )	62
6610	Isconahua	arm	ponyan	ponyan	p o n j a n	None	5612		p o + ( - n ) j a n	62
7536	Chipaya	arm	qhara	qhara	qʰ a r a	None	1149		qʰ a r a	65
8007	Cavinena	arm	-bi	-bi	b i	None	4250		b i ( - - )	63
8564	Tacana	arm	e-bai	e-bai	b a i	None	1038		b a ( - i )	63
9443	Chacobo	arm	ba-, bamisco	ba-	β a	None	1038		β a ( - - )	64
9444	Chacobo	arm	ba-, bamisco	bamisco	β a m i s k o	None	1039		β a ( - - ) + m i s k o	64
9981	Araona	arm	ebai	ebai	b a i	None	1038		b a ( - i )	63
161	EseEjja	armpit	enakʷiši	enakʷiši	n a kʷ i ʃ i	None	1407		n a kʷ i ʃ i	71
1520	Catuquina	armpit	pički	pički	p i ʃ k i	None	1392		p i ʃ + k i	70
2026	ShipiboConibo	armpit	βaṣ̌ka	βaṣ̌ka	β a ʂ k a	None	1043		β a ( - - ) + ʂ k a	70
2027	ShipiboConibo	armpit	βa-	βa-	β a	None	1038		β a ( - - )	70
2640	Yaminahua	armpit	po-čo	po-čo	p o tʃ o	None	5610		p o + tʃ o	73
3478	Amahuaca	armpit	píshcan	píshcan	p í/i ʃ k a n	None	1390		p í/i ʃ + k a n	70
3878	Capanahua	armpit	pishquin	pishquin	p i ʃ	None	1390		p i ʃ	70
4160	Moseten	armpit	c̷a'kaʔ	c̷a'kaʔ	ts a k a.ʔ	None	1447		ts a k a.ʔ	74
4161	Movima	armpit	čowi-kʷa	čowi-kʷa	tʃ o w i kʷ a	None	1463		tʃ o w i + kʷ a	75
5095	Matses	armpit	podo ambuadquid	podo ambuadquid	p o d o a m b u a d k i d	None	5607		p o + d o + a m b u a d + k i d	73
5096	Matses	armpit	podo ana	podo ana	p o d o a n a	None	5608		p o + d o + a n a	73
5564	Sharanahua	armpit	pocho	pocho	p u tʃ u	None	5615		p u + tʃ u	73
6113	Kakataibo	armpit	pëxan kini	pëxan kini	p ɨ ʂ a n k i n i	None	3178		p ɨ + ʂ a n + k i n i	70
7217	Chipaya	armpit	ljakz(a)	ljakz	ɬ a k z	None	1415		ɬ a k z	72
8179	Cavinena	armpit	inyukwija	inyukwija	i n j u kʷ i h a	None	2349		i n - - - j u + kʷ i h a	71
9342	Tsimane	armpit	tsaca’	tsaca’	ts a k a.ʔ	None	1447		ts a k a.ʔ	74
9736	Chacobo	armpit	pishquini, batsisto	pishquini	p i ʃ k i n i	None	1391		p i ʃ + k i n i	70
9737	Chacobo	armpit	pishquini, batsisto	batsisto	β a ts i s t o	None	1044		β a ( - - ) + ts i s t o	76
10126	Araona	armpit	nócuizi	nócuizi	n o kʷ i ɽ i	None	1407		n o kʷ i ɽ i	71
348	EseEjja	arrive	poe-	poe-	p o e	None	4060		- - p o - + e	81
349	EseEjja	arrive	yeka-	yeka-	j e k a	None	1626		j e + k a	86
1248	Cashibo	arrive	βɨβa-ti	βɨβa-ti	β ɨ β a t i	None	1640		β ɨ + β a + t i	78
1691	Catuquina	arrive	noko-t-	noko-t-	n o k o t	None	586		n o k o - + t	77
2246	ShipiboConibo	arrive	noko-ti	noko-ti	n o k o t i	None	585		n o k o - + t i	77
2247	ShipiboConibo	arrive	inã-ti	inã-ti	i n ã t i	None	1940		i n ã + t i	78
2831	Yaminahua	arrive	noko-kĩ	noko-kĩ	n o k o k ĩ	None	585		n o k o - + - k ĩ	77
3320	Amahuaca	arrive	nócoohí	nócoohí	n ó/o k o.o	None	585		n ó/o k o.o -	77
3819	Capanahua	arrive	nocoti	nocoti	n o k o t i	None	585		n o k o - + t i	77
4774	Moseten	arrive	'wen'čui	'wen'čui	w e n tʃ u i	None	1703		w e n tʃ u i -	80
4775	Movima	arrive	hoʔ-yah	hoʔ-yah	h o ʔ j a h	None	1652		h o ʔ + j a h	84
5528	Matses	arrive	chinun	chinun	tʃ i n u n	None	1938		tʃ i n u n	83
5565	Sharanahua	arrive	nocoi	nocoi	n u k u i	None	585		n u k u - + - i	77
6114	Kakataibo	arrive	bëbati	bëbati	β̞ ɨ β̞ a t i	None	1640		β̞ ɨ + β̞ a + t i	78
6611	Isconahua	arrive	noko	noko	n o k o	None	585		n o k o -	77
7390	Chipaya	arrive	ira-nti-z	ira-nti-z	i r a n t i	None	1675		i r a + n t i	80
8528	Tacana	arrive	cuina	cuina	kʷ i n a	None	4288		kʷ i n a	85
9398	Tsimane	arrive	venjoij	venjoij	ʋ e n h o i.h	None	1703		ʋ e n h o i h	80
9501	Chacobo	arrive	cahëhaina	cahëhaina	k a ʔ ɨ	None	4043		k a - - + ʔ ɨ	79
10290	Kaxarari	arrive	hu-	hu-	h u	None	1696		h u	82
556	EseEjja	arrow	emehe	emehe	m e h e	None	1915		( - - ) m e ( h e )	89
955	HuarayoEseEjja	arrow	e-mese	e-mese	m e s e	None	1915		( - - ) m e ( s e )	89
1390	Cashibo	arrow	pia	pia	p i a	None	1892		p i - a	87
1853	Catuquina	arrow	pia	pia	p i a	None	1892		p i - a	87
2503	ShipiboConibo	arrow	pia	pia	p i a	None	1892		p i - a	87
3023	Yaminahua	arrow	pia	pia	p i a	None	1892		p i - a	87
3187	Amahuaca	arrow	piyá	piyá	p i j á/a	None	1892		p i j á/a	87
3991	Capanahua	arrow	tahua, huexa	tahua	t a w a	None	1907		t a w a	88
3992	Capanahua	arrow	tahua, huexa	huexa	w ɨ ʂ a	None	3206		w ɨ ʂ a	87
4162	Moseten	arrow	ih'meʔ	ih'meʔ	i h m e.ʔ	None	1915		( i h ) m e.ʔ ( - - )	91
4163	Movima	arrow	huɬ-pa	huɬ-pa	h u ɬ p a	None	1930		h u ɬ + p a - -	92
5097	Matses	arrow	pia	pia	p i a	None	1892		p i - a	87
5566	Sharanahua	arrow	cafiti	cafiti	k a β i t i	None	1920		k a β i t i	90
5567	Sharanahua	arrow	pia	pia	p i a	None	1892		p i - a	87
6115	Kakataibo	arrow	pia	pia	p i a	None	1892		p i - a	87
6612	Isconahua	arrow	kabiti	kabiti	k a β i t i	None	1920		k a β i t i	90
6613	Isconahua	arrow	koa	koa	k o a	None	1948		k o a	94
8354	Cavinena	arrow	piya	piya	p i j a	None	1892		p i j a	87
8759	Tacana	arrow	pisa	pisa	p i s a	None	1892		p i s a	87
9022	Tsimane	arrow	comora, yajsi	comora	k o m o r a	None	1939		k o m o r a	93
9023	Tsimane	arrow	comora, yajsi	yajsi	j a.h s i	None	1958		j a h s i	87
9732	Chacobo	arrow	pia	pia	p i a	None	1892		p i - a	87
10136	Araona	arrow	pia	pia	p i a	None	1892		p i - a	87
10214	Kaxarari	arrow	piˈja	piˈja	p i j a	None	1892		p i j a	87
34	EseEjja	ash	kʷaki-maxo	kʷaki-maxo	kʷ a k i m a x o	None	2182		kʷ a + k i - + m a x o	96
35	EseEjja	ash	kʷaki-powi	kʷaki-powi	kʷ a k i p o w i	None	2184		kʷ a + k i - + p o w i	96
587	HuarayoEseEjja	ash	powi	powi	p o w i	None	2193		p o w i	96
988	Cashibo	ash	či-mapo	či-mapo	tʃ i m a p o	None	2157		tʃ i - - + m a p o	95
1425	Catuquina	ash	ṣ̌iʔi mapo	ṣ̌iʔi mapo	tʃ i ʔ i m a p o	None	2157		tʃ i ʔ i + m a p o	95
1899	ShipiboConibo	ash	čii-mapo	čii-mapo	tʃ i i m a p o	None	2157		tʃ i - i + m a p o	95
2536	Yaminahua	ash	čii mapo	čii mapo	tʃ i i m a p o	None	2157		tʃ i - i + m a p o	95
3110	Amahuaca	ash	chíhimapó	chíhimapó	tʃ í/i ʔ i m a p ó/o	None	2157		tʃ í/i ʔ i + m a p ó/o	95
3605	Capanahua	ash	chihi mapo	chihi mapo	tʃ i ʔ i m a p o	None	2157		tʃ i ʔ i + m a p o	95
4164	Moseten	ash	čim	čim	tʃ i m	None	2154		tʃ i - - + m	95
4165	Movima	ash	βeʔe-βus	βeʔe-βus	β e ʔ e β u s	None	2201		β e ʔ e + β u s	98
5098	Matses	ash	isisapuc	isisapuc	i s i s a p u k	None	5157		( i s ) i s a - - + p u k	97
5568	Sharanahua	ash	mapo	mapo	m a p u	None	2141		m a p u	95
6116	Kakataibo	ash	chimapu	chimapu	tʃ i m a p ɯ	None	2157		tʃ i - - + m a p ɯ	95
6614	Isconahua	ash	mapo	mapo	m a p o	None	2141		m a p o	95
7548	Chipaya	ash	qhup, qhupa	qhup(a)	qʰ u p a	None	2104		qʰ u p a	95
8165	Cavinena	ash	etikimuru	etikimuru	t i k i m u r u	None	2130		t i + k i - + m u r u	95
8623	Tacana	ash	e-timu	e-timu	t i m u	None	2131		t i + m u - -	95
8996	Tsimane	ash	chim	chim	tʃ i m	None	2154		tʃ i - - + m	95
9666	Chacobo	ash	mishpo	mishpo	m i ʃ p o	None	3840		m i ʃ p o	95
10177	Araona	ash	timo	timo	t i m o	None	2131		t i + m o - -	95
10215	Kaxarari	ash	mapuˈʔu	mapuˈʔu	m a p u ʔ u	None	2144		m a p u + ʔ u	95
542	EseEjja	ask (inquire)	wowiaxa-ka-	wowiaxa-ka-	w o w i a x a k a	None	2494		w o w i a x a + k a	101
1379	Cashibo	ask (inquire)	ɲu'ka-ti	ɲu'ka-ti	ɲ u k a t i	None	2472		ɲ u k a + t i	100
1842	Catuquina	ask (inquire)	yoka-	yoka-	j o k a	None	2471		j o k a	100
2484	ShipiboConibo	ask (inquire)	yoka-ti	yoka-ti	j o k a t i	None	2471		j o k a + t i	100
2485	ShipiboConibo	ask (inquire)	pirikõta ati	pirikõta ati	p i r i k õ t a a t i	None	3270		p i r i k õ t a + a t i	107
3007	Yaminahua	ask (inquire)	yõka-kĩ	yõka-kĩ	j õ k a k ĩ	None	2471		j õ k a + - k ĩ	100
4123	Capanahua	ask (inquire)	yocaquin	yocaquin	j o k a	None	2471		j o k a	100
4166	Moseten	ask (inquire)	kodak-'dʸe	kodak-'dʸe	k o d a k dʲ e	None	2524		k o d a k + dʲ e	103
4167	Movima	ask (inquire)	ɗaha-wane-ɬe	ɗaha-wane-ɬe	ɗ a h a w a n e ɬ e	None	3269		ɗ a h a + w a n e + ɬ e	104
5099	Matses	ask (inquire)	chui	chui	tʃ u i	None	2712		tʃ u i	102
5569	Sharanahua	ask (inquire)	yocain	yocain	j u k a i n	None	2473		j u k a + i n	100
6117	Kakataibo	ask (inquire)	ñukáti	ñukáti	ɲ ɯ k a t i	None	2472		ɲ ɯ k a + t i	100
6615	Isconahua	ask (inquire)	yokai	yokai	j o k a i	None	2471		j o k a + - i	100
7504	Chipaya	ask (inquire)	peku-z	peku-z	p e k u	None	3266		p e k u	99
8090	Cavinena	ask (inquire)	baka	baka	b a k a	None	2043		b a k a	99
8771	Tacana	ask (inquire)	quisa-ba	quisa-ba	k i s a b a	None	2506		k i s a + b a	105
9127	Tsimane	ask (inquire)	jéyaqui	jéyaqui	h ẽ	None	2547		h ẽ	106
9688	Chacobo	ask (inquire)	nicahaina	nicahaina	n i k a	None	4215		n i k a	100
9928	Araona	ask (inquire)	bicuaebaja	bicuaebaja	b i kʷ a e b a h a	None	2465		b i kʷ a e + b a h a	99
543	EseEjja	ask (request)	wowiaxa-nahe	wowiaxa-nahe	w o w i a x a	None	2494		w o w i a x a	112
1380	Cashibo	ask (request)	ɲo'ka-ti	ɲo'ka-ti	ɲ o k a t i	None	3264		ɲ o + k a + t i	108
1843	Catuquina	ask (request)	yoka-	yoka-	j o k a	None	2471		j o k a	108
2486	ShipiboConibo	ask (request)	yoka-ti	yoka-ti	j o k a t i	None	2471		j o k a + t i	108
3008	Yaminahua	ask (request)	yõka-kĩ	yõka-kĩ	j õ k a k ĩ	None	2471		j õ k a + - k ĩ	108
3009	Yaminahua	ask (request)	kĩβi-kĩ	kĩβi-kĩ	k ĩ β i k ĩ	None	2763		k ĩ β i + - k ĩ	115
3463	Amahuaca	ask (request)	yócaaquín	yócaaquín	j ó/o k a	None	2471		j ó/o k a	108
4122	Capanahua	ask (request)	yocaquin	yocaquin	j o k a	None	2471		j o k a	108
4168	Moseten	ask (request)	ku'daki	ku'daki	k u d a k i	None	2722		k u d a + k i	113
4169	Movima	ask (request)	ɗah-kʷa-na	ɗah-kʷa-na	ɗ a h kʷ a n a	None	2728		ɗ a h + kʷ a + n a	114
5570	Sharanahua	ask (request)	cucui	cucui	k ɨ k ɨ i	None	3265		k ɨ k ɨ + - i	115
5571	Sharanahua	ask (request)	yoimai	yoimai	j u.i m a.i	None	3736		j u.i m a.i	108
7581	Chipaya	ask (request)	sik-z	sik-z	s i k	None	2746		s i k	111
7782	Isconahua	ask (request)	yokai	yokai	j o k a i	None	2471		j o k a + - i	108
8091	Cavinena	ask (request)	baka	baka	b a k a	None	2043		b a k a	109
8477	Tacana	ask (request)	baja	baja	b a h a	None	2043		b a h a	109
9017	Tsimane	ask (request)	códaqui	códaqui	k õ d	None	2721		k õ d -	113
9445	Chacobo	ask (request)	baahaina	baahaina	β a a	None	2735		β a a	110
9944	Araona	ask (request)	cuae	cuae	kʷ a e	None	2756		kʷ a e	109
297	EseEjja	axe	seweša	seweša	s e w e ʃ a	None	2981		s e w e ʃ a	121
298	EseEjja	axe	ehahaha akʷi	ehahaha akʷi	h a h a h a a kʷ i	None	3037		h a h a h a + - a kʷ i	129
299	EseEjja	axe	aki	aki	a !k/kʷ i	None	4905		- a !k/kʷ i	129
784	HuarayoEseEjja	axe	šoši-xi	šoši-xi	ʃ o ʃ i	None	1601		ʃ o ʃ i	122
1207	Cashibo	axe	roɨ	roɨ	r o ɨ	None	2944		r o - ɨ	116
1208	Cashibo	axe	manɨ	manɨ	m a n ɨ	None	2995		m a n ɨ	123
1644	Catuquina	axe	roɨ	roɨ	r o ɨ	None	2944		r o - ɨ	116
2190	ShipiboConibo	axe	roɨ	roɨ	r o ɨ	None	2944		r o - ɨ	116
2191	ShipiboConibo	axe	yami	yami	j a m i	None	2958		j a m i	118
2779	Yaminahua	axe	yami	yami	j a m i	None	2958		j a m i	118
3119	Amahuaca	axe	rovú, yamí	rovú	r o β ɨ	None	2944		r o β ɨ	116
3120	Amahuaca	axe	rovú, yamí	yamí	j a m í/i	None	2958		j a m í/i	118
4112	Capanahua	axe	yami, rohue	yami	j a m i	None	2958		j a m i	118
4113	Capanahua	axe	yami, rohue	rohue	r o w ɨ	None	2944		r o w ɨ	116
4170	Moseten	axe	pha'kiyeʔ	pha'kiyeʔ	pʰ a k i j e.ʔ	None	3009		pʰ a k i j e.ʔ	125
4171	Movima	axe	lai-ɬa	lai-ɬa	l ai ɬ a	None	3018		l ai + ɬ a	126
5100	Matses	axe	duë	duë	d u ɨ	None	2944		d u - ɨ	124
5101	Matses	axe	moco	moco	m o k o	None	1602		m o k o	130
5572	Sharanahua	axe	rurati	rurati	r ɨ r a t i	None	3027		r ɨ r a + t i	127
5573	Sharanahua	axe	yami	yami	j a m i	None	2958		j a m i	118
6118	Kakataibo	axe	manë	manë	m a n ɨ	None	2995		m a n ɨ	123
6119	Kakataibo	axe	ruë	ruë	ɾ ɯ ɨ	None	2944		ɾ ɯ - ɨ	116
6616	Isconahua	axe	yanpa	yanpa	j a n p a	None	2987		j a n p a	118
7369	Chipaya	axe	hacha	hacha	h a tʃ a	None	2965		h a tʃ a	119
8200	Cavinena	axe	jacha	jacha	h a tʃ a	None	2965		h a tʃ a	119
8695	Tacana	axe	jacha	jacha	h a tʃ a	None	2965		h a tʃ a	119
9100	Tsimane	axe	jai’ñi	jai’ñi	h a i.ʔ ɲ i	None	3003		h a i.ʔ ɲ i	128
9744	Chacobo	axe	poroma	poroma	p o r o m a	None	2972		p o r o m a	120
9906	Araona	axe	baja	baja	b a h a	None	2950		b a h a	117
59	EseEjja	baby	ešoʔi	ešoʔi	ʃ o ʔ i	None	5813		- ʃ o ʔ i	136
603	HuarayoEseEjja	baby	e-bakwa	e-bakwa	b a kʷ a	None	3231		b a kʷ a	132
1440	Catuquina	baby	yomɨ maško	yomɨ maško	j o m ɨ m a ʂ k o	None	3254		j o m ɨ + m a ʂ k o	133
1924	ShipiboConibo	baby	βakɨ-šoko	βakɨ-šoko	β a k ɨ ʃ o k o	None	3240		β a k ɨ + ʃ o k o	132
