ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	AUTOCOGID
8255	Cavinena	approach	jipe, sita	sita	s i t a	None	229	50
8708	Tacana	approach	ja-naria-ti	ja-naria-ti	h a n a ɾ i a t i	None	579	55
8875	Cashibo	approach	čiča-ti	čiča-ti	tʃ i tʃ a t i	None	0	50
8889	Catuquina	approach	taβa_ka-	taβa_ka-	t a β a k a	None	0	51
9005	Tsimane	approach	ćhéi’yaij jeyeyaqui	ćhéi’yaij jeyeyaqui	tʃʰ ẽi.ʔ j ai h h e j e	None	230	56
9965	Araona	approach	cuaetiqui	cuaetiqui	kʷ a e t i k i	None	0	48
161	EseEjja	arm	e-aa	e-aa	a a	None	983	64
677	HuarayoEseEjja	arm	yaa	yaa	j a a	None	102	64
1083	Cashibo	arm	pɨ'ɲã	pɨ'ɲã	p ɨ ɲ ã	None	2779	60
1520	Catuquina	arm	põyã	põyã	p õ j ã	None	5060	60
2027	ShipiboConibo	arm	po-yã	po-yã	p o j ã	None	5060	60
2643	Yaminahua	arm	põ-ya	põ-ya	p õ j a	None	5060	60
3437	Amahuaca	arm	pónyan, póxtuu	pónyan	p ó/o n j a n	None	5060	60
3438	Amahuaca	arm	pónyan, póxtuu	póxtuu	p ó/o ʂ t ɨ ɨ	None	5056	65
3905	Capanahua	arm	poyan, pexo xao, bax	poyan	p o j a n	None	5060	60
3906	Capanahua	arm	poyan, pexo xao, bax	pexo xao	p ɨ ʂ o ʂ a o	None	2776	67
3907	Capanahua	arm	poyan, pexo xao, bax	bax	β a ʂ	None	943	62
4171	Moseten	arm	œɲ'ya	œɲ'ya	ɨ ɲ j a	None	102	60
4172	Movima	arm	ɓosa-kʷa	ɓosa-kʷa	ɓ o s a kʷ a	None	95	66
5108	Matses	arm	podo	podo	p o d o	None	5057	65
5578	Sharanahua	arm	poyan	poyan	p u j a n	None	5060	60
6129	Kakataibo	arm	pëñan	pëñan	p ɨ ɲ a n	None	2779	60
6628	Isconahua	arm	ponyan	ponyan	p o n j a n	None	5060	60
7554	Chipaya	arm	qhara	qhara	qʰ a r a	None	1052	63
8025	Cavinena	arm	-bi	-bi	b i	None	942	61
8582	Tacana	arm	e-bai	e-bai	b a i	None	942	61
9462	Chacobo	arm	ba-, bamisco	ba-	β a	None	942	62
9463	Chacobo	arm	ba-, bamisco	bamisco	β a m i s k o	None	944	62
10000	Araona	arm	ebai	ebai	b a i	None	942	61
162	EseEjja	armpit	enakʷiši	enakʷiši	n a kʷ i ʃ i	None	1284	69
1521	Catuquina	armpit	pički	pički	p i ʃ k i	None	1271	68
2028	ShipiboConibo	armpit	βaṣ̌ka	βaṣ̌ka	β a ʂ k a	None	948	68
2029	ShipiboConibo	armpit	βa-	βa-	β a	None	942	68
2644	Yaminahua	armpit	po-čo	po-čo	p o tʃ o	None	5062	71
3484	Amahuaca	armpit	píshcan	píshcan	p í/i ʃ k a n	None	1269	68
3886	Capanahua	armpit	pishquin	pishquin	p i ʃ	None	1269	68
4173	Moseten	armpit	c̷a'kaʔ	c̷a'kaʔ	ts a k a.ʔ	None	1321	72
4174	Movima	armpit	čowi-kʷa	čowi-kʷa	tʃ o w i kʷ a	None	1332	73
5109	Matses	armpit	podo ambuadquid	podo ambuadquid	p o d o a m b u a d k i d	None	5058	71
5110	Matses	armpit	podo ana	podo ana	p o d o a n a	None	5059	71
5579	Sharanahua	armpit	pocho	pocho	p u tʃ u	None	5066	71
6130	Kakataibo	armpit	pëxan kini	pëxan kini	p ɨ ʂ a n k i n i	None	2786	68
7235	Chipaya	armpit	ljakz(a)	ljakz	ɬ a k z	None	1293	70
8197	Cavinena	armpit	inyukwija	inyukwija	i n j u kʷ i h a	None	1284	69
9361	Tsimane	armpit	tsaca’	tsaca’	ts a k a.ʔ	None	1321	72
9755	Chacobo	armpit	pishquini, batsisto	pishquini	p i ʃ k i n i	None	1270	68
9756	Chacobo	armpit	pishquini, batsisto	batsisto	β a ts i s t o	None	949	74
10145	Araona	armpit	nócuizi	nócuizi	n o kʷ i ɽ i	None	1284	69
349	EseEjja	arrive	poe-	poe-	p o e	None	3606	79
350	EseEjja	arrive	yeka-	yeka-	j e k a	None	0	85
1249	Cashibo	arrive	βɨβa-ti	βɨβa-ti	β ɨ β a t i	None	1477	76
1692	Catuquina	arrive	noko-t-	noko-t-	n o k o t	None	525	75
2250	ShipiboConibo	arrive	noko-ti	noko-ti	n o k o t i	None	524	75
2251	ShipiboConibo	arrive	inã-ti	inã-ti	i n ã t i	None	0	76
2837	Yaminahua	arrive	noko-kĩ	noko-kĩ	n o k o k ĩ	None	524	75
3326	Amahuaca	arrive	nócoohí	nócoohí	n ó/o k o.o	None	524	75
3827	Capanahua	arrive	nocoti	nocoti	n o k o t i	None	524	75
4788	Moseten	arrive	'wen'čui	'wen'čui	w e n tʃ u i	None	1530	82
4789	Movima	arrive	hoʔ-yah	hoʔ-yah	h o ʔ j a h	None	1486	83
5543	Matses	arrive	chinun	chinun	tʃ i n u n	None	1731	81
5580	Sharanahua	arrive	nocoi	nocoi	n u k u i	None	524	75
6131	Kakataibo	arrive	bëbati	bëbati	β̞ ɨ β̞ a t i	None	1477	76
6629	Isconahua	arrive	noko	noko	n o k o	None	524	75
7408	Chipaya	arrive	ira-nti-z	ira-nti-z	i r a n t i	None	1504	78
8546	Tacana	arrive	cuina	cuina	kʷ i n a	None	3820	84
9417	Tsimane	arrive	venjoij	venjoij	ʋ e n h o i h	None	1530	82
9520	Chacobo	arrive	cahëhaina	cahëhaina	k a ʔ ɨ	None	3589	77
10309	Kaxarari	arrive	hu-	hu-	h u	None	1522	80
557	EseEjja	arrow	emehe	emehe	m e h e	None	1711	88
956	HuarayoEseEjja	arrow	e-mese	e-mese	m e s e	None	1711	88
1391	Cashibo	arrow	pia	pia	p i a	None	1691	86
1854	Catuquina	arrow	pia	pia	p i a	None	1691	86
2507	ShipiboConibo	arrow	pia	pia	p i a	None	1691	86
3029	Yaminahua	arrow	pia	pia	p i a	None	1691	86
3193	Amahuaca	arrow	piyá	piyá	p i j á/a	None	1691	86
4003	Capanahua	arrow	tahua, huexa	tahua	t a w a	None	1706	87
4004	Capanahua	arrow	tahua, huexa	huexa	w ɨ ʂ a	None	2813	86
4175	Moseten	arrow	ih'meʔ	ih'meʔ	i h m e.ʔ	None	1711	90
4176	Movima	arrow	huɬ-pa	huɬ-pa	h u ɬ p a	None	1724	91
5111	Matses	arrow	pia	pia	p i a	None	1691	86
5581	Sharanahua	arrow	cafiti	cafiti	k a β i t i	None	1715	89
5582	Sharanahua	arrow	pia	pia	p i a	None	1691	86
6132	Kakataibo	arrow	pia	pia	p i a	None	1691	86
6630	Isconahua	arrow	kabiti	kabiti	k a β i t i	None	1715	89
6631	Isconahua	arrow	koa	koa	k o a	None	1737	93
8372	Cavinena	arrow	piya	piya	p i j a	None	1691	86
8777	Tacana	arrow	pisa	pisa	p i s a	None	1691	86
9040	Tsimane	arrow	comora, yajsi	comora	k o m o r a	None	1732	92
9041	Tsimane	arrow	comora, yajsi	yajsi	j a h s i	None	1745	94
9751	Chacobo	arrow	pia	pia	p i a	None	1691	86
10155	Araona	arrow	pia	pia	p i a	None	1691	86
10233	Kaxarari	arrow	piˈja	piˈja	p i j a	None	1691	86
34	EseEjja	ash	kʷaki-maxo	kʷaki-maxo	kʷ a k i m a x o	None	1927	96
35	EseEjja	ash	kʷaki-powi	kʷaki-powi	kʷ a k i p o w i	None	1929	96
588	HuarayoEseEjja	ash	powi	powi	p o w i	None	1935	96
989	Cashibo	ash	či-mapo	či-mapo	tʃ i m a p o	None	1908	95
1426	Catuquina	ash	ṣ̌iʔi mapo	ṣ̌iʔi mapo	tʃ i ʔ i m a p o	None	1908	95
1900	ShipiboConibo	ash	čii-mapo	čii-mapo	tʃ i i m a p o	None	1908	95
2540	Yaminahua	ash	čii mapo	čii mapo	tʃ i i m a p o	None	1908	95
3116	Amahuaca	ash	chíhimapó	chíhimapó	tʃ í/i ʔ i m a p ó/o	None	1908	95
3611	Capanahua	ash	chihi mapo	chihi mapo	tʃ i ʔ i m a p o	None	1908	95
4177	Moseten	ash	čim	čim	tʃ i m	None	1905	95
4178	Movima	ash	βeʔe-βus	βeʔe-βus	β e ʔ e β u s	None	1941	98
5112	Matses	ash	isisapuc	isisapuc	i s i s a p u k	None	4636	97
5583	Sharanahua	ash	mapo	mapo	m a p u	None	1894	95
6133	Kakataibo	ash	chimapu	chimapu	tʃ i m a p ɯ	None	1908	95
6632	Isconahua	ash	mapo	mapo	m a p o	None	1894	95
7566	Chipaya	ash	qhup, qhupa	qhup(a)	qʰ u p a	None	1866	95
8183	Cavinena	ash	etikimuru	etikimuru	t i k i m u r u	None	1885	95
8641	Tacana	ash	e-timu	e-timu	t i m u	None	1886	95
9014	Tsimane	ash	chim	chim	tʃ i m	None	1905	95
9685	Chacobo	ash	mishpo	mishpo	m i ʃ p o	None	3401	95
10196	Araona	ash	timo	timo	t i m o	None	1886	95
10234	Kaxarari	ash	mapuˈʔu	mapuˈʔu	m a p u ʔ u	None	1897	95
543	EseEjja	ask (inquire)	wowiaxa-ka-	wowiaxa-ka-	w o w i a x a k a	None	2175	101
1380	Cashibo	ask (inquire)	ɲu'ka-ti	ɲu'ka-ti	ɲ u k a t i	None	0	100
1843	Catuquina	ask (inquire)	yoka-	yoka-	j o k a	None	2155	100
2488	ShipiboConibo	ask (inquire)	yoka-ti	yoka-ti	j o k a t i	None	2155	100
2489	ShipiboConibo	ask (inquire)	pirikõta ati	pirikõta ati	p i r i k õ t a a t i	None	2872	107
3013	Yaminahua	ask (inquire)	yõka-kĩ	yõka-kĩ	j õ k a k ĩ	None	2155	100
4136	Capanahua	ask (inquire)	yocaquin	yocaquin	j o k a	None	2155	100
4179	Moseten	ask (inquire)	kodak-'dʸe	kodak-'dʸe	k o d a k dʲ e	None	0	103
4180	Movima	ask (inquire)	ɗaha-wane-ɬe	ɗaha-wane-ɬe	ɗ a h a w a n e ɬ e	None	2871	104
5113	Matses	ask (inquire)	chui	chui	tʃ u i	None	2352	102
5584	Sharanahua	ask (inquire)	yocain	yocain	j u k a i n	None	2156	100
6134	Kakataibo	ask (inquire)	ñukáti	ñukáti	ɲ ɯ k a t i	None	0	100
6633	Isconahua	ask (inquire)	yokai	yokai	j o k a i	None	2155	100
7522	Chipaya	ask (inquire)	peku-z	peku-z	p e k u	None	2868	99
8108	Cavinena	ask (inquire)	baka	baka	b a k a	None	1817	99
8789	Tacana	ask (inquire)	quisa-ba	quisa-ba	k i s a b a	None	2186	105
9145	Tsimane	ask (inquire)	jéyaqui	jéyaqui	h ẽ	None	2222	106
9707	Chacobo	ask (inquire)	nicahaina	nicahaina	n i k a	None	3754	100
9947	Araona	ask (inquire)	bicuaebaja	bicuaebaja	b i kʷ a e b a h a	None	2151	99
544	EseEjja	ask (request)	wowiaxa-nahe	wowiaxa-nahe	w o w i a x a	None	2175	112
1381	Cashibo	ask (request)	ɲo'ka-ti	ɲo'ka-ti	ɲ o k a t i	None	0	108
1844	Catuquina	ask (request)	yoka-	yoka-	j o k a	None	2155	108
2490	ShipiboConibo	ask (request)	yoka-ti	yoka-ti	j o k a t i	None	2155	108
3014	Yaminahua	ask (request)	yõka-kĩ	yõka-kĩ	j õ k a k ĩ	None	2155	108
3015	Yaminahua	ask (request)	kĩβi-kĩ	kĩβi-kĩ	k ĩ β i k ĩ	None	0	113
3469	Amahuaca	ask (request)	yócaaquín	yócaaquín	j ó/o k a	None	2155	108
4135	Capanahua	ask (request)	yocaquin	yocaquin	j o k a	None	2155	108
4181	Moseten	ask (request)	ku'daki	ku'daki	k u d a k i	None	0	113
4182	Movima	ask (request)	ɗah-kʷa-na	ɗah-kʷa-na	ɗ a h kʷ a n a	None	2363	114
5585	Sharanahua	ask (request)	cucui	cucui	k ɨ k ɨ i	None	0	113
5586	Sharanahua	ask (request)	yoimai	yoimai	j u.i m a.i	None	3309	108
7599	Chipaya	ask (request)	sik-z	sik-z	s i k	None	2379	111
7800	Isconahua	ask (request)	yokai	yokai	j o k a i	None	2155	108
8109	Cavinena	ask (request)	baka	baka	b a k a	None	1817	109
8495	Tacana	ask (request)	baja	baja	b a h a	None	1817	109
9035	Tsimane	ask (request)	códaqui	códaqui	k õ d	None	2360	113
9464	Chacobo	ask (request)	baahaina	baahaina	β a a	None	2369	110
9963	Araona	ask (request)	cuae	cuae	kʷ a e	None	2389	109
298	EseEjja	axe	seweša	seweša	s e w e ʃ a	None	2600	119
299	EseEjja	axe	ehahaha akʷi	ehahaha akʷi	h a h a h a a kʷ i	None	2654	127
300	EseEjja	axe	aki	aki	a k i	None	602	127
785	HuarayoEseEjja	axe	šoši-xi	šoši-xi	ʃ o ʃ i	None	1446	120
1208	Cashibo	axe	roɨ	roɨ	r o ɨ	None	2567	115
1209	Cashibo	axe	manɨ	manɨ	m a n ɨ	None	2612	122
1645	Catuquina	axe	roɨ	roɨ	r o ɨ	None	2567	115
2194	ShipiboConibo	axe	roɨ	roɨ	r o ɨ	None	2567	115
2195	ShipiboConibo	axe	yami	yami	j a m i	None	2579	117
2785	Yaminahua	axe	yami	yami	j a m i	None	2579	117
3125	Amahuaca	axe	rovú, yamí	rovú	r o β ɨ	None	2567	115
3126	Amahuaca	axe	rovú, yamí	yamí	j a m í/i	None	2579	117
4125	Capanahua	axe	yami, rohue	yami	j a m i	None	2579	117
4126	Capanahua	axe	yami, rohue	rohue	r o w ɨ	None	2567	115
4183	Moseten	axe	pha'kiyeʔ	pha'kiyeʔ	pʰ a k i j e.ʔ	None	2627	123
4184	Movima	axe	lai-ɬa	lai-ɬa	l ai ɬ a	None	2637	124
5114	Matses	axe	duë	duë	d u ɨ	None	2567	115
5115	Matses	axe	moco	moco	m o k o	None	1447	128
5587	Sharanahua	axe	rurati	rurati	r ɨ r a t i	None	2645	125
5588	Sharanahua	axe	yami	yami	j a m i	None	2579	117
6135	Kakataibo	axe	manë	manë	m a n ɨ	None	2612	122
6136	Kakataibo	axe	ruë	ruë	ɾ ɯ ɨ	None	2567	115
6634	Isconahua	axe	yanpa	yanpa	j a n p a	None	2604	121
7387	Chipaya	axe	hacha	hacha	h a tʃ a	None	2585	116
8218	Cavinena	axe	jacha	jacha	h a tʃ a	None	2585	116
8713	Tacana	axe	jacha	jacha	h a tʃ a	None	2585	116
9118	Tsimane	axe	jai’ñi	jai’ñi	h a i.ʔ ɲ i	None	2621	126
9763	Chacobo	axe	poroma	poroma	p o r o m a	None	2592	118
9925	Araona	axe	baja	baja	b a h a	None	2572	116
59	EseEjja	baby	ešoʔi	ešoʔi	ʃ o ʔ i	None	5241	134
604	HuarayoEseEjja	baby	e-bakwa	e-bakwa	b a kʷ a	None	2835	130
1441	Catuquina	baby	yomɨ maško	yomɨ maško	j o m ɨ m a ʂ k o	None	2858	131
1925	ShipiboConibo	baby	βakɨ-šoko	βakɨ-šoko	β a k ɨ ʃ o k o	None	2844	130
2557	Yaminahua	baby	βakɨ-šta	βakɨ-šta	β a k ɨ ʃ t a	None	2846	130
2558	Yaminahua	baby	yomɨ-šta	yomɨ-šta	j o m ɨ ʃ t a	None	2859	131
2559	Yaminahua	baby	βakɨ yomɨ	βakɨ yomɨ	β a k ɨ j o m ɨ	None	2843	131
3539	Capanahua	baby	baquexo	baquexo	β a k ɨ ʂ o	None	2842	130
4567	Moseten	baby	xuih'ɲo	xuih'ɲo	x u i h ɲ o	None	2887	136
4568	Movima	baby	tami-ɓa	tami-ɓa	t a m i ɓ a	None	2416	137
5116	Matses	baby	bacuëmpi	bacuëmpi	b a kʷ ɨ m p i	None	2839	130
5589	Sharanahua	baby	facu	facu	β a k ɨ	None	2835	130
6114	Sharanahua	baby	yomu	yomu	j u m ɨ	None	2857	131
6137	Kakataibo	baby	tuá	tuá	t ɯ a	None	1168	135
6635	Isconahua	baby	bakeheko	bakeheko	β a k ɨ h ɨ k o	None	2841	130
7678	Chipaya	baby	tutu	tutu	t u t u	None	2706	133
8348	Cavinena	baby	nana	nana	n a n a	None	5138	132
8872	Tacana	baby	yanana chidi	yanana chidi	j a n a n a tʃ i d i	None	2870	132
9179	Tsimane	baby	joijno’	joijno’	h o i h n o.ʔ	None	2887	136
9472	Chacobo	baby	baquë-pistia	baquë-pistia	β a k ɨ p i s t i a	None	2845	130
10033	Araona	baby	ezoe	ezoe	ɽ o e	None	2830	129
136	EseEjja	back	e-hakaxa	e-hakaxa	h a k a x a	None	2635	141
660	HuarayoEseEjja	back	e-daa-sa	e-daa-sa	d a a s a	None	3888	140
1063	Cashibo	back	kaṣ̌o	kaṣ̌o	k a ʂ o	None	1674	138
1500	Catuquina	back	pɨmana	pɨmana	p ɨ m a n a	None	2792	139
1994	ShipiboConibo	back	pɨka	pɨka	p ɨ k a	None	2787	139
1995	ShipiboConibo	back	kaṣ̌o	kaṣ̌o	k a ʂ o	None	1674	138
1996	ShipiboConibo	back	pɨ-	pɨ-	p ɨ	None	2775	139
2623	Yaminahua	back	piči	piči	p i tʃ i	None	3790	139
3295	Amahuaca	back	catú	catú	k a t ɨ	None	1671	138
3863	Capanahua	back	peca, pexo, cahté	peca	p ɨ k a	None	2787	139
3864	Capanahua	back	peca, pexo, cahté	pexo	p ɨ ʂ o	None	2790	139
3865	Capanahua	back	peca, pexo, cahté	cahté	k a ʔ t ɨ	None	3087	138
4185	Moseten	back	mœrehri'ka	mœrehri'ka	m ɨ r e h r i k a	None	3788	142
4186	Movima	back	ɗuɗu-kʷa	ɗuɗu-kʷa	ɗ u ɗ u kʷ a	None	3895	143
5590	Sharanahua	back	catu	catu	k a t ɨ	None	1671	138
5591	Sharanahua	back	puminti	puminti	p ɨ m i n t i	None	2789	139
6138	Kakataibo	back	kaxu	kaxu	k a ʂ ɯ	None	1674	138
6636	Isconahua	back	kate	kate	k a t ɨ	None	1671	138
6637	Isconahua	back	pechi	pechi	p ɨ tʃ i	None	2788	139
7085	Matses	back	caʈʂo	caʈʂo	k a ʈʂ o	None	1673	138
7607	Chipaya	back	taj, taja	taj	t a x	None	3093	140
7608	Chipaya	back	taj, taja	taja	t a x a	None	3093	140
8023	Cavinena	back	-bebakwa, -tibu	-bebakwa	b e b a kʷ a	None	3789	139
8024	Cavinena	back	-bebakwa, -tibu	-tibu	t i b u	None	3885	138
8516	Tacana	back	bishi, yarapa	bishi	b i ʃ i	None	3791	139
8517	Tacana	back	bishi, yarapa	yarapa	j a ɾ a p a	None	3112	144
9214	Tsimane	back	murujru	murujru	m ɨ r ɨ h r ɨ	None	3788	142
9530	Chacobo	back	catë	catë	k a t ɨ	None	1671	138
9935	Araona	back	bebacua	bebacua	b e b a kʷ a	None	3789	139
10235	Kaxarari	back	ˈkatapu	ˈkatapu	k a t a p u	None	1664	138
513	EseEjja	bad	kea-mase	kea-mase	k e a m a s e	None	2995	148
514	EseEjja	bad	kea-šoʔitai	kea-šoʔitai	k e a ʃ o ʔ i t a i	None	2996	150
937	HuarayoEseEjja	bad	kia-tai	kia-tai	k i a t a i	None	3333	150
1363	Cashibo	bad	ʔaisama	ʔaisama	ʔ a i s a m a	None	3164	145
1820	Catuquina	bad	ičṣ̌a-pa	ičṣ̌a-pa	i ʃ tʃ a p a	None	3169	147
2454	ShipiboConibo	bad	-koma	-koma	k o m a	None	3171	145
2455	ShipiboConibo	bad	hakoma	hakoma	h a k o m a	None	3145	145
2456	ShipiboConibo	bad	mɨčo	mɨčo	m ɨ tʃ o	None	3325	151
2988	Yaminahua	bad	čaka	čaka	tʃ a k a	None	3347	147
3296	Amahuaca	bad	híromá	híromá	ʔ í/i r o m á/a	None	3153	145
4043	Capanahua	bad	tiroma	tiroma	t i r o m a	None	3153	145
4187	Moseten	bad	ham 'hemdsi	ham 'hemdsi	h a m h e m d s i	None	4614	153
4188	Movima	bad	um̉-ɓe	um̉-ɓe	u t ʔⁿ ɓ e	None	3364	154
5117	Matses	bad	icsa	icsa	i k s a	None	3354	152
